query_group,query,book_id,title,authors,subjects,pdf_url,text_url,status,file,bytes,error
stocks,stock exchange,60082,The Stock Exchange from Within,"Van Antwerp, William C. (William Clarkson)",New York Stock Exchange; Stock exchanges,,https://www.gutenberg.org/ebooks/60082.txt.utf-8,converted_from_text,tmp/download/gutenberg_finance_pdfs/60082-The Stock Exchange from Within.pdf,826720,
stocks,stock exchange,59518,The Theory of Stock Exchange Speculation,"Crump, Arthur",Speculation,,https://www.gutenberg.org/ebooks/59518.txt.utf-8,converted_from_text,tmp/download/gutenberg_finance_pdfs/59518-The Theory of Stock Exchange Speculation.pdf,329247,
stocks,stock exchange,1903,"Everybody's Guide to Money Matters: With a description of the various investments chiefly dealt in on the stock exchange, and the mode of dealing therein","Cotton, William, F.S.A., of Exeter",Banks and banking -- Great Britain; Investments -- Great Britain; Money; Stock exchanges -- Great Britain,,https://www.gutenberg.org/ebooks/1903.txt.utf-8,converted_from_text,"tmp/download/gutenberg_finance_pdfs/1903-Everybody's Guide to Money Matters With a description of the various investments chiefly dealt in on the stock exchange,.pdf",295488,
stocks,stock exchange,70656,Chronicles and characters of the stock exchange,"Francis, John, of the Bank of England","Speculation; Stock Exchange (London, England)",,https://www.gutenberg.org/ebooks/70656.txt.utf-8,converted_from_text,tmp/download/gutenberg_finance_pdfs/70656-Chronicles and characters of the stock exchange.pdf,667637,
stocks,stock exchange,29443,The New York Stock Exchange in the Crisis of 1914,"Noble, Henry George Stebbins",New York Stock Exchange,,https://www.gutenberg.org/ebooks/29443.txt.utf-8,converted_from_text,tmp/download/gutenberg_finance_pdfs/29443-The New York Stock Exchange in the Crisis of 1914.pdf,205585,
stocks,stock exchange,29379,"The New York Stock Exchange and Public Opinion: Remarks at Annual Dinner, Association of Stock Exchange Brokers, Held at the Astor Hotel, New York, January 24, 1917","Kahn, Otto H.",New York Stock Exchange,,https://www.gutenberg.org/ebooks/29379.txt.utf-8,converted_from_text,"tmp/download/gutenberg_finance_pdfs/29379-The New York Stock Exchange and Public Opinion Remarks at Annual Dinner, Association of Stock Exchange Brokers, Held at.pdf",63945,
stocks,stock exchange,59042,The Stock Exchange,"Duguid, Charles","Stock Exchange (London, England)",,https://www.gutenberg.org/ebooks/59042.txt.utf-8,converted_from_text,tmp/download/gutenberg_finance_pdfs/59042-The Stock Exchange.pdf,281473,
stocks,stock exchange,44052,Profitable Stock Exchange Investments,Henry Voorce Brandenburg & Co.,Investments; Speculation,,https://www.gutenberg.org/ebooks/44052.txt.utf-8,converted_from_text,tmp/download/gutenberg_finance_pdfs/44052-Profitable Stock Exchange Investments.pdf,82087,
stocks,speculation,26841,Successful Stock Speculation,"Butler, John James",Speculation; Stocks,,https://www.gutenberg.org/ebooks/26841.txt.utf-8,converted_from_text,tmp/download/gutenberg_finance_pdfs/26841-Successful Stock Speculation.pdf,135159,
stocks,speculation,73647,The psychology of speculation : $b The human element in stock market transactions,"Harper, Henry Howard",Speculation; Stock exchanges,,https://www.gutenberg.org/ebooks/73647.txt.utf-8,converted_from_text,tmp/download/gutenberg_finance_pdfs/73647-The psychology of speculation $b The human element in stock market transactions.pdf,157596,
stocks,speculation,75687,The cycles of speculation,"Gibson, Thomas",Financial crises; Speculation,,https://www.gutenberg.org/ebooks/75687.txt.utf-8,converted_from_text,tmp/download/gutenberg_finance_pdfs/75687-The cycles of speculation.pdf,310555,
stocks,speculation,73648,"After the stock market crash of November, 1929 : $b A supplementary chapter to the psychology of speculation issued in 1926","Harper, Henry Howard",Depressions -- 1929; Speculation; Stock exchanges,,https://www.gutenberg.org/ebooks/73648.txt.utf-8,converted_from_text,"tmp/download/gutenberg_finance_pdfs/73648-After the stock market crash of November, 1929 $b A supplementary chapter to the psychology of speculation issued in 192.pdf",56215,
funds,trust company,29048,The Fabric of Civilization: A Short Survey of the Cotton Industry in the United States,Guaranty Trust Company of New York,Cotton manufacture -- United States,,https://www.gutenberg.org/ebooks/29048.txt.utf-8,converted_from_text,tmp/download/gutenberg_finance_pdfs/29048-The Fabric of Civilization A Short Survey of the Cotton Industry in the United States.pdf,216149,
funds,trust company,53708,Tacoma and Vicinity,"Oakland Land, Loan and Trust Company",Tacoma (Wash.) -- Description and travel; Tacoma (Wash.) -- History; Tacoma (Wash.) -- Pictorial works,,https://www.gutenberg.org/ebooks/53708.txt.utf-8,converted_from_text,tmp/download/gutenberg_finance_pdfs/53708-Tacoma and Vicinity.pdf,102314,
funds,trust company,51894,"Federal Stamp Taxes on Drafts, Checks and Promissory Notes, 1919",Guaranty Trust Company of New York,Checks; Drafts; Promissory notes; Stamp duties -- United States,,https://www.gutenberg.org/ebooks/51894.txt.utf-8,converted_from_text,"tmp/download/gutenberg_finance_pdfs/51894-Federal Stamp Taxes on Drafts, Checks and Promissory Notes, 1919.pdf",36272,
bonds,bonds,38850,The Rogues and Vagabonds of Shakespeare's Youth: Awdeley's 'Fraternitye of vacabondes' and Harman's 'Caveat',"Awdelay, John, active 1559-1577; Harman, Thomas, active 1567","Rogues and vagabonds -- England -- Early works to 1800; Rogues and vagabonds -- England -- History -- 16th century -- Sources; Shakespeare, William, 1564-1616 -- Contemporary England; Thieves",,https://www.gutenberg.org/ebooks/38850.txt.utf-8,converted_from_text,tmp/download/gutenberg_finance_pdfs/38850-The Rogues and Vagabonds of Shakespeare's Youth Awdeley's 'Fraternitye of vacabondes' and Harman's 'Caveat'.pdf,414969,
bonds,bonds,46287,"The Book of Vagabonds and Beggars, with a Vocabulary of Their Language",,Begging -- Germany; German language -- Slang; Wayfaring life -- Germany,,https://www.gutenberg.org/ebooks/46287.txt.utf-8,converted_from_text,"tmp/download/gutenberg_finance_pdfs/46287-The Book of Vagabonds and Beggars, with a Vocabulary of Their Language.pdf",139235,
bonds,bonds,70982,Vagabonds of the sea : $b The campaign of a French cruiser,"Larrouy, Maurice","Waldeck-Rousseau (Cruiser); World War, 1914-1918 -- Personal narratives, French",,https://www.gutenberg.org/ebooks/70982.txt.utf-8,converted_from_text,tmp/download/gutenberg_finance_pdfs/70982-Vagabonds of the sea $b The campaign of a French cruiser.pdf,440938,
